lever_id,target_operator,secondary_operators,tier,reliability,category,sql_construct,prompt_hint,example_snippet,non_degenerate_note
right_outer_join,RightJoin,Join,1,guaranteed,join,RIGHT OUTER JOIN,"Join a fact table to a dimension with a RIGHT OUTER JOIN so unmatched right-side rows are retained.","SELECT d.name, s.amt FROM sales s RIGHT OUTER JOIN dim d ON s.dk = d.k","Right side must contain rows with no match; do not add a WHERE filter that makes it inner."
full_outer_join,FullOuterJoin,Join,1,guaranteed,join,FULL OUTER JOIN,"Combine two tables with a FULL OUTER JOIN keeping unmatched rows from both sides.","SELECT a.k, b.k FROM t_a a FULL OUTER JOIN t_b b ON a.k = b.k","Neither side may be fully covered by the other; avoid predicates that force inner semantics."
cross_join,CrossJoin,Join,1,guaranteed,join,CROSS JOIN,"Form a CROSS JOIN (cartesian product) between a small dimension and a computed set.","SELECT a.k, b.g FROM small_a a CROSS JOIN small_b b","Keep both inputs small; do not add an equality predicate (that turns it into an inner join)."
semi_join_in,SemiJoin,,1,guaranteed,subquery,IN (uncorrelated subquery),"Filter one table to rows whose key appears IN an uncorrelated subquery over another table.","SELECT * FROM orders WHERE cust_k IN (SELECT k FROM customer WHERE region = 'X')","Subquery must be uncorrelated (no reference to the outer query)."
anti_join_not_in,SemiJoin,Filter,1,guaranteed,subquery,NOT IN (uncorrelated subquery),"Select rows whose key is NOT IN an uncorrelated subquery to force an anti-semi-join.","SELECT * FROM orders WHERE cust_k NOT IN (SELECT k FROM returns)","Subquery column should be non-nullable to avoid NULL-driven empty results."
semi_join_exists,SemiJoin,,1,guaranteed,subquery,EXISTS (correlated),"Keep rows for which a correlated EXISTS subquery returns at least one match.","SELECT * FROM customer c WHERE EXISTS (SELECT 1 FROM orders o WHERE o.cust_k = c.k)","Correlation predicate must reference the outer row; may render as SemiJoin or decorrelate."
anti_join_not_exists,SemiJoin,Filter,1,guaranteed,subquery,NOT EXISTS (correlated),"Keep rows for which a correlated NOT EXISTS subquery finds no match (anti-join).","SELECT * FROM customer c WHERE NOT EXISTS (SELECT 1 FROM orders o WHERE o.cust_k = c.k)","Correlation predicate must reference the outer row."
correlated_scalar,CorrelatedJoin,Aggregate,1,conditional,subquery,correlated scalar subquery,"Add a correlated scalar subquery in the SELECT list that aggregates a related table per outer row.","SELECT c.k, (SELECT count(*) FROM orders o WHERE o.cust_k = c.k) AS n FROM customer c","May decorrelate to a Join+Aggregate; keep the correlation to trigger the correlated path."
lateral_join,CorrelatedJoin,,1,conditional,subquery,LATERAL,"Use a LATERAL subquery that references columns from the preceding relation.","SELECT c.k, t.recent FROM customer c CROSS JOIN LATERAL (SELECT max(o.d) AS recent FROM orders o WHERE o.cust_k = c.k) t","LATERAL body must reference the outer relation."
scalar_subquery,EnforceSingleRow,Project,1,guaranteed,subquery,scalar subquery (uncorrelated),"Compare a column against an uncorrelated scalar subquery that returns exactly one row.","SELECT * FROM item WHERE price > (SELECT avg(price) FROM item)","Subquery must return a single row (aggregate or LIMIT 1)."
grouping_sets,GroupId,Aggregate,1,guaranteed,aggregation,GROUP BY GROUPING SETS,"Aggregate over multiple GROUPING SETS in one query.","SELECT a, b, sum(v) FROM t GROUP BY GROUPING SETS ((a,b),(a),())","Use at least two distinct grouping sets."
